Ingeniería en Sistemas Computacionales ,1,Zacatenco
Ingeniería en Computación ,1,Culhuacan
Ingeniería en Informática ,1,Iztacalco
Licenciatura en Ciencias de la Informática ,1,Iztacalco
Licenciatura en Física y Matemáticas ,2,Zacatenco
Ingeniero Arquitecto ,3,Tecamachalco
Ingeniería Civil ,3,Zacatenco
Ingeniería Topográfica y Fotogramétrica ,4,Ticoman
Ingeniería Geofísica ,4,Ticoman
Ingeniería Geológica ,4,Ticoman
Ingeniería Ambiental ,4,Ticoman
Ingeniería en Metalurgia y Materiales ,4,Zacatenco
Ingeniería en Sistemas Ambientales ,4,Santo Tomas
Ingeniería Química Industrial ,5,Zacatenco
Ingeniería Química Petrolera ,5,Zacatenco
Ingeniería Farmacéutica ,5,Ticoman
Ingeniería Petrolera ,5,Ticoman
Ingeniería en Alimentos ,5,Ticoman
Ingeniería Bionica ,6,Ticoman
Ingeniería Bioquímica ,6,Santo Tomas
Ingeniería Biomédica ,6,Ticoman
Ingeniería Biotecnológica ,6,Ticoman
Ingeniería Aeronáutica ,7,Ticoman
Ingeniería Mecánica ,7,Azcapotzalco, Culhuacan
Ingeniería en Robótica Industrial ,7,Azcapotzalco
Ingeniería en Sistemas Automotrices ,7,Zacatenco, Ticoman, Culhuacan, Azcapotzalco
Ingeniería Mecatronica ,7,Ticoman
Ingeniería Industrial ,8,Iztacalco
Ingeniería en Control y Automatizacion ,8,Zacatenco
Ingeniería en Transporte ,8,Iztacalco
Ingeniería Textil ,8,Zacatenco
Ingeniería en Comunicaciones y Electrónica ,9,Zacatenco, Culhuacan
Ingeniería Telemática ,9,Ticoman
Ingeniería Eléctrica ,9,Zacatenco
